symbol,model,scope,n_train,fallback_share,n,auc,brier,log_loss,accuracy,base_rate
AMZN,boosted_all,common,233995,0.9338374291115312,13165,0.55496944658721,0.24873709187321025,0.6909781257243398,0.5494113178883403,0.5421952145841246
CSCO,analytic,common,233987,0.17013232514177692,74572,0.6270000960873399,0.24929636191309892,0.7017897881352448,0.5865874590999303,0.5019444295446012
CSCO,logistic_imbalance,all,233987,0.17013232514177692,93578,0.6531112878449341,0.23317773121191596,0.6585429409971915,0.6102930175896044,0.508100194490158
CSCO,logistic_imbalance,common,233987,0.17013232514177692,74572,0.6270236800434625,0.23857662967652535,0.6698859792578505,0.5906372364962721,0.5019444295446012
CSCO,logistic_queues,all,233987,0.17013232514177692,93578,0.6517672326627136,0.23347184429805448,0.6591708075914334,0.6095556647930069,0.508100194490158
CSCO,logistic_queues,common,233987,0.17013232514177692,74572,0.6259148176262787,0.23873541596888276,0.6702521814311647,0.5899399238320013,0.5019444295446012
CSCO,logistic_all,all,233987,0.17013232514177692,93578,0.6529599586579395,0.23388157839871185,0.6603495401481678,0.6129111543311462,0.508100194490158
CSCO,logistic_all,common,233987,0.17013232514177692,74572,0.6276054269788292,0.2391020006014256,0.6712393719652405,0.5932119294105026,0.5019444295446012
CSCO,boosted_queues,all,233987,0.17013232514177692,93578,0.6392446722467878,0.23858609521983526,0.6719272397797597,0.6010707644959286,0.508100194490158
CSCO,boosted_queues,common,233987,0.17013232514177692,74572,0.613462944115531,0.24287119434032958,0.6798405229026915,0.5835300112642815,0.5019444295446012
CSCO,boosted_all,all,233987,0.17013232514177692,93578,0.6309575976229838,0.24620752410770735,0.696758822410366,0.5948086088610571,0.508100194490158
CSCO,boosted_all,common,233987,0.17013232514177692,74572,0.6067003624840461,0.25053361980014915,0.7050802879514004,0.5784744944483184,0.5019444295446012
GOOG,analytic,common,233995,0.9243856332703214,11116,0.5610494492280648,0.28053755439499534,0.7836524867510728,0.5286074127383951,0.47670025188916876
GOOG,logistic_imbalance,all,233995,0.9243856332703214,93598,0.5474258154899765,0.24835823546809702,0.6898589243148555,0.5346268082651339,0.482072266501421
